market,interval,snapshot0,snapshot1,listing_id,init_u,reopened
belize,2,2025-12-29,2026-03-30,1359635047812702194,10,0
belize,2,2025-12-29,2026-03-30,1365434930136441008,120,13
belize,2,2025-12-29,2026-03-30,1365437469930024692,120,13
belize,2,2025-12-29,2026-03-30,1371269330424107073,10,6
belize,2,2025-12-29,2026-03-30,1399459469630476705,7,0
belize,2,2025-12-29,2026-03-30,1399459470551161159,12,0
belize,2,2025-12-29,2026-03-30,1409347255037502714,6,6
belize,2,2025-12-29,2026-03-30,1465500845204958172,18,1
belize,2,2025-12-29,2026-03-30,1466060689697268495,7,7
belize,3,2026-03-30,2026-06-29,419134,11,0
belize,3,2026-03-30,2026-06-29,736308,4,0
belize,3,2026-03-30,2026-06-29,985520,16,1
belize,3,2026-03-30,2026-06-29,1187309,15,12
belize,3,2026-03-30,2026-06-29,2811841,20,11
belize,3,2026-03-30,2026-06-29,3594049,70,0
belize,3,2026-03-30,2026-06-29,3704445,12,0
belize,3,2026-03-30,2026-06-29,4333646,26,0
belize,3,2026-03-30,2026-06-29,4974742,46,0
belize,3,2026-03-30,2026-06-29,8500000,14,0
belize,3,2026-03-30,2026-06-29,9597407,26,0
belize,3,2026-03-30,2026-06-29,11635188,16,0
belize,3,2026-03-30,2026-06-29,12725571,20,0
belize,3,2026-03-30,2026-06-29,12823760,14,10
belize,3,2026-03-30,2026-06-29,12984190,29,0
belize,3,2026-03-30,2026-06-29,13314067,18,0
belize,3,2026-03-30,2026-06-29,14484119,12,5
belize,3,2026-03-30,2026-06-29,14732433,61,11
belize,3,2026-03-30,2026-06-29,14930054,8,0
belize,3,2026-03-30,2026-06-29,16257426,4,0
belize,3,2026-03-30,2026-06-29,17460556,9,0
belize,3,2026-03-30,2026-06-29,17613593,5,0
belize,3,2026-03-30,2026-06-29,17750669,43,0
belize,3,2026-03-30,2026-06-29,18134642,2,0
belize,3,2026-03-30,2026-06-29,18974444,11,0
belize,3,2026-03-30,2026-06-29,19296963,5,0
belize,3,2026-03-30,2026-06-29,19360701,5,0
belize,3,2026-03-30,2026-06-29,19930308,1,0
belize,3,2026-03-30,2026-06-29,20392274,12,0
belize,3,2026-03-30,2026-06-29,20471865,4,0
belize,3,2026-03-30,2026-06-29,20471866,4,0
belize,3,2026-03-30,2026-06-29,20513597,5,0
belize,3,2026-03-30,2026-06-29,20599884,16,0
belize,3,2026-03-30,2026-06-29,21326369,55,0
belize,3,2026-03-30,2026-06-29,21754451,42,0
belize,3,2026-03-30,2026-06-29,21798169,10,1
belize,3,2026-03-30,2026-06-29,21798234,31,13
belize,3,2026-03-30,2026-06-29,22585239,58,7
belize,3,2026-03-30,2026-06-29,23321288,38,0
belize,3,2026-03-30,2026-06-29,24077366,52,2
belize,3,2026-03-30,2026-06-29,24678132,15,2
belize,3,2026-03-30,2026-06-29,25840079,59,0
belize,3,2026-03-30,2026-06-29,28202852,29,0
belize,3,2026-03-30,2026-06-29,31053120,19,0
belize,3,2026-03-30,2026-06-29,31516424,20,0
belize,3,2026-03-30,2026-06-29,33588492,4,0
belize,3,2026-03-30,2026-06-29,33828465,7,4
