norm,quarter,coef,B,uf_ratio,fp_ratio,m_pct,u_pct
"trailing-4 revenue, 2023+2024+1H25",2Q26,0.142,1.0,0.855,0.946,8.471,6.538
"trailing-4 revenue, 2023+2024+1H25",2Q26,0.142,1.05,0.855,0.946,8.471,10.989
"trailing-4 revenue, 2023+2024+1H25",2Q26,0.142,1.1,0.855,0.946,8.471,15.034
"trailing-4 revenue, 2022-2024",4Q25,0.1,1.0,0.993,1.006,1.167,-0.472
"trailing-4 revenue, 2022-2024",4Q25,0.1,1.05,0.993,1.006,1.167,4.313
"trailing-4 revenue, 2022-2024",4Q25,0.1,1.1,0.993,1.006,1.167,8.662
"trailing-4 revenue, 2022-2024",4Q25,0.124,1.0,0.993,1.006,1.142,-0.447
"trailing-4 revenue, 2022-2024",4Q25,0.124,1.05,0.993,1.006,1.142,4.337
"trailing-4 revenue, 2022-2024",4Q25,0.124,1.1,0.993,1.006,1.142,8.685
"trailing-4 revenue, 2022-2024",4Q25,0.142,1.0,0.993,1.006,1.124,-0.429
"trailing-4 revenue, 2022-2024",4Q25,0.142,1.05,0.993,1.006,1.124,4.354
"trailing-4 revenue, 2022-2024",4Q25,0.142,1.1,0.993,1.006,1.124,8.701
"trailing-4 revenue, 2022-2024",1Q26,0.1,1.0,0.863,0.938,7.359,6.865
"trailing-4 revenue, 2022-2024",1Q26,0.1,1.05,0.863,0.938,7.359,11.3
"trailing-4 revenue, 2022-2024",1Q26,0.1,1.1,0.863,0.938,7.359,15.332
"trailing-4 revenue, 2022-2024",1Q26,0.124,1.0,0.863,0.938,7.214,7.012
"trailing-4 revenue, 2022-2024",1Q26,0.124,1.05,0.863,0.938,7.214,11.44
"trailing-4 revenue, 2022-2024",1Q26,0.124,1.1,0.863,0.938,7.214,15.465
"trailing-4 revenue, 2022-2024",1Q26,0.142,1.0,0.863,0.938,7.108,7.117
"trailing-4 revenue, 2022-2024",1Q26,0.142,1.05,0.863,0.938,7.108,11.54
"trailing-4 revenue, 2022-2024",1Q26,0.142,1.1,0.863,0.938,7.108,15.561
"trailing-4 revenue, 2022-2024",2Q26,0.1,1.0,0.832,0.928,9.562,8.045
"trailing-4 revenue, 2022-2024",2Q26,0.1,1.05,0.832,0.928,9.562,12.424
"trailing-4 revenue, 2022-2024",2Q26,0.1,1.1,0.832,0.928,9.562,16.405
"trailing-4 revenue, 2022-2024",2Q26,0.124,1.0,0.832,0.928,9.377,8.233
"trailing-4 revenue, 2022-2024",2Q26,0.124,1.05,0.832,0.928,9.377,12.603
"trailing-4 revenue, 2022-2024",2Q26,0.124,1.1,0.832,0.928,9.377,16.575
"trailing-4 revenue, 2022-2024",2Q26,0.142,1.0,0.832,0.928,9.243,8.369
"trailing-4 revenue, 2022-2024",2Q26,0.142,1.05,0.832,0.928,9.243,12.732
"trailing-4 revenue, 2022-2024",2Q26,0.142,1.1,0.832,0.928,9.243,16.699
