window,target,horizon_q,object,spec_id,n,mae,rw_mae,bias,mae_ratio_street,rw_mae_ratio_street,passes
W2,adj_ebitda_musd,1,dispersion_conditioned,rw_hl4_med,9,82.32195756601335,71.96484628184898,35.945491783936184,1.7613857780897837,1.4160656351506231,False
W2,adj_ebitda_musd,1,dispersion_conditioned,rw_hl4_usd,9,65.48459214275273,60.607649312078756,28.715026143457926,1.4011283586370193,1.192587962766784,False
W2,adj_ebitda_musd,1,street_plus_bias,ew,9,189.32030593846068,146.83698643240626,189.32030593846068,4.05075515990017,2.889338631276327,False
W2,adj_ebitda_musd,1,street_plus_bias,ew_usd,9,104.21104006660802,81.63290140911431,97.67259623944753,2.229731280941369,1.6063057500373172,False
W2,adj_ebitda_musd,1,street_plus_bias,rw_hl4,9,128.8309055386132,97.99670197585198,108.33551493761544,2.7565054513211185,1.9282992904981966,False
W2,adj_ebitda_musd,1,street_plus_bias,rw_hl4_from21,9,153.87299892142764,113.60742668075662,138.0931594277958,3.292313739197596,2.235474417473877,False
W2,adj_ebitda_musd,1,street_plus_bias,rw_hl4_med,9,115.61780081949973,91.24085047961432,68.26113824720193,2.4737938221911295,1.79536314689087,False
W2,adj_ebitda_musd,1,street_plus_bias,rw_hl4_usd,9,79.62348872878445,67.24449351513888,50.11306606808317,1.703648513658213,1.3231823777815006,False
W2,adj_ebitda_musd,1,street_plus_flowthrough,ew,9,90.64434772692113,74.75893072052642,45.81301693972368,1.9394541829546996,1.4710453531621683,False
W2,adj_ebitda_musd,1,street_plus_flowthrough,ew_usd,9,90.64434772692113,74.75893072052642,45.81301693972368,1.9394541829546996,1.4710453531621683,False
W2,adj_ebitda_musd,1,street_plus_flowthrough,rw_hl4,9,87.13153584424616,75.02473168860281,36.45149416426092,1.8642929856971289,1.4762755681369717,False
W2,adj_ebitda_musd,1,street_plus_flowthrough,rw_hl4_from21,9,90.87980392173286,76.72640432655226,41.4861804922425,1.9444920757012605,1.5097596964214794,False
W2,adj_ebitda_musd,1,street_plus_flowthrough,rw_hl4_med,9,93.19802479105337,78.91696158615989,43.799025291609645,1.9940934383318532,1.5528636981310262,False
W2,adj_ebitda_musd,1,street_plus_flowthrough,rw_hl4_usd,9,87.13153584424616,75.02473168860281,36.45149416426092,1.8642929856971289,1.4762755681369717,False
W2,adj_ebitda_margin_pct,0,street(raw baseline),-,10,1.3111779281441889,1.116338895524589,-1.126356841361538,1.0,1.0,False
W2,adj_ebitda_margin_pct,0,dispersion_conditioned,ew,10,1.4031247436001781,1.1230985204367707,1.2139885750252208,1.0701253533043595,1.0060551727967924,False
W2,adj_ebitda_margin_pct,0,dispersion_conditioned,ew_usd,10,1.4031247436001781,1.1230985204367707,1.2139885750252208,1.0701253533043595,1.0060551727967924,False
