object_id,name,postal_code,rooms,longitude,latitude,row_update_code,name_postal_key,source_id,independent_status,airbnb_membership
19968,Carlton City Hotel Singapore,078862,386,103.84369850008996,1.275958455611587,20241009094137,CARLTON CITY HOTEL SINGAPORE|078862,HRE-SG-HLB,unverified,unverified
19969,Checkers Hostel @ Beach Road,199550,23,103.86040749688983,1.300977786672355,20241009094137,CHECKERS HOSTEL BEACH ROAD|199550,HRE-SG-HLB,unverified,unverified
19970,Check-Inn @Little India,219184,31,103.85072918717506,1.3076195135110347,20241009094137,CHECK INN LITTLE INDIA|219184,HRE-SG-HLB,unverified,unverified
19971,Circular House,049362,12,103.84896467191328,1.2879505199057062,20241009094137,CIRCULAR HOUSE|049362,HRE-SG-HLB,unverified,unverified
19972,City Backpackers,059661,11,103.84728191366386,1.2878039882588954,20241009094137,CITY BACKPACKERS|059661,HRE-SG-HLB,unverified,unverified
19973,Claude Hotel,088387,45,103.84199181474203,1.2803779162072817,20241009094137,CLAUDE HOTEL|088387,HRE-SG-HLB,unverified,unverified
19974,COMO METROPOLITAN SINGAPORE,229922,156,103.83681151175318,1.3043192969424446,20241009094137,COMO METROPOLITAN SINGAPORE|229922,HRE-SG-HLB,unverified,unverified
19975,Crockfords Tower,098270,121,103.81927986172907,1.2559338729363496,20241009094137,CROCKFORDS TOWER|098270,HRE-SG-HLB,unverified,unverified
19976,CUBE @ smith street,058971,7,103.84300636367944,1.2831621826450574,20241009094137,CUBE SMITH STREET|058971,HRE-SG-HLB,unverified,unverified
19977,Cube Family Boutique Capsule Hotel @ Chinatown,058967,24,103.84316149508729,1.2830398296169658,20241009094137,CUBE FAMILY BOUTIQUE CAPSULE HOTEL CHINATOWN|058967,HRE-SG-HLB,unverified,unverified
19978,Dao by Dorsett AMTD Singapore,068809,268,103.84840863744311,1.276980700075543,20241009094137,DAO BY DORSETT AMTD SINGAPORE|068809,HRE-SG-HLB,unverified,unverified
19979,Darlene Hotel (Geylang),399096,62,103.87696991344245,1.3109012776858975,20241009094137,DARLENE HOTEL GEYLANG|399096,HRE-SG-HLB,unverified,unverified
19980,Dash Living Rochor,219962,68,103.8518682661065,1.3073654095750515,20241009094137,DASH LIVING ROCHOR|219962,HRE-SG-HLB,unverified,unverified
19981,D'Hotel,169040,41,103.83501003680226,1.2843221081918037,20241009094137,D HOTEL|169040,HRE-SG-HLB,unverified,unverified
19982,Diamond Hotel,398806,42,103.88083872954626,1.3118599660473964,20241009094137,DIAMOND HOTEL|398806,HRE-SG-HLB,unverified,unverified
19983,D'Nova Hotel,188593,32,103.85540532137708,1.2965217891359588,20241009094137,D NOVA HOTEL|188593,HRE-SG-HLB,unverified,unverified
19984,Dorsett Singapore,088765,285,103.84000759892122,1.279626683406086,20241009094137,DORSETT SINGAPORE|088765,HRE-SG-HLB,unverified,unverified
19985,Dusit Thani Laguna Singapore,488047,198,103.96265708489913,1.3239733111570475,20241009094137,DUSIT THANI LAGUNA SINGAPORE|488047,HRE-SG-HLB,unverified,unverified
19986,Equarius Hotel,098133,183,103.81689668781799,1.257671134300444,20241009094137,EQUARIUS HOTEL|098133,HRE-SG-HLB,unverified,unverified
19987,Equarius Villas,098135,35,103.81654785487996,1.259237739237878,20241009094137,EQUARIUS VILLAS|098135,HRE-SG-HLB,unverified,unverified
19988,Fragrance Hotel - Balestier,329710,48,103.8526590814247,1.321973569510145,20241009094137,FRAGRANCE HOTEL BALESTIER|329710,HRE-SG-HLB,unverified,unverified
