block,kind,target,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,perm_p,loo_rmse,naive_last_rmse,loo_mean_rmse,loo_r2_vs_mean,beats_naive_last,beats_loo_mean,mean_surprise,median_surprise,share_positive,r2_full,loo_r2,rmse_model_loo,rmse_sqpy_naive,rmse_model_loo_on_bound_rows,rmse_guide_bound,rmse_sqpy_on_bound_rows,n_bound_rows,coefs,quarters,nowcast_surprise_vs_bound_pts,nowcast_margin_pct,guide_bound_pct,sqpy_margin_pct,nowcast_margin_yoy_pts
baseline,baseline,surprise_vs_bound_pts,zero (guide/SQPY exactly right),14,,,,,,2.7934,,,,,,0.4383,-0.5280,0.4286,,,,,,,,,,,,,,,
baseline,baseline,surprise_vs_bound_pts,naive last-quarter surprise,14,0.4431,0.1125,,,,3.0304,3.0304,2.9710,,,,,,,,,,,,,,,,,,,,,
baseline,baseline,surprise_specsign_pts,zero (guide/SQPY exactly right),14,,,,,,2.7934,,,,,,2.0313,1.5905,0.9286,,,,,,,,,,,,,,,
baseline,baseline,surprise_specsign_pts,naive last-quarter surprise,14,0.2239,0.4416,,,,2.4607,2.4607,2.0650,,,,,,,,,,,,,,,,,,,,,
baseline,baseline,surprise_yoy_pts,zero (guide/SQPY exactly right),14,,,,,,2.8460,,,,,,0.4726,-0.6010,0.4286,,,,,,,,,,,,,,,
baseline,baseline,surprise_yoy_pts,naive last-quarter surprise,14,0.4554,0.1018,,,,3.0591,3.0591,3.0224,,,,,,,,,,,,,,,,,,,,,
margin_model,all quarters with cost lines (from 2022Q1),margin_pct,adr_exfx_yoy + sm_delev_pts,18,,,,,,,,,,,,,,,0.7770,0.5248,4.5138,7.1600,4.5138,4.8522,7.1600,18.0000,"b0=0.91 (p=0.48); adr_exfx_yoy: b=0.771 (p=0.01, sign_stab=1.00); sm_delev_pts: b=-0.298 (p=0.00, sign_stab=1.00)",2022Q1 2022Q2 2022Q3 2022Q4 2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,,,,,
margin_model,guided sample (from 2023Q1),margin_pct,adr_exfx_yoy + sm_delev_pts,14,,,,,,,,,,,,,,,0.7297,0.4929,1.9986,2.8460,1.9986,2.7934,2.8460,14.0000,"b0=1.31 (p=0.10); adr_exfx_yoy: b=0.406 (p=0.15, sign_stab=1.00); sm_delev_pts: b=-0.238 (p=0.00, sign_stab=1.00)",2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,,,,,
margin_model,"guided sample, ADR ex-FX only",margin_pct,adr_exfx_yoy,14,,,,,,,,,,,,,,,0.0169,-0.2459,3.1327,2.8460,3.1327,2.7934,2.8460,14.0000,"b0=0.04 (p=0.97); adr_exfx_yoy: b=0.215 (p=0.66, sign_stab=1.00)",2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,,,,,
margin_model,"guided sample, S&M deleverage only",margin_pct,sm_delev_pts,14,,,,,,,,,,,,,,,0.6706,0.5113,1.9618,2.8460,1.9618,2.7934,2.8460,14.0000,"b0=2.06 (p=0.00); sm_delev_pts: b=-0.229 (p=0.00, sign_stab=1.00)",2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,,,,,
margin_model,"guided sample, reported ADR (no FX adj)",margin_pct,adr_yoy + sm_delev_pts,14,,,,,,,,,,,,,,,0.7495,0.5309,1.9221,2.8460,1.9221,2.7934,2.8460,14.0000,"b0=1.23 (p=0.10); adr_yoy: b=0.323 (p=0.09, sign_stab=1.00); sm_delev_pts: b=-0.245 (p=0.00, sign_stab=1.00)",2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,,,,,
margin_model,"guided sample, LAGGED inputs (pre-print)",margin_pct,adr_exfx_yoy_lag1 + sm_delev_pts_lag1,14,,,,,,,,,,,,,,,0.4280,0.0191,2.7796,2.8460,2.7796,2.7934,2.8460,14.0000,"b0=2.20 (p=0.06); adr_exfx_yoy_lag1: b=-0.395 (p=0.28, sign_stab=1.00); sm_delev_pts_lag1: b=-0.163 (p=0.02, sign_stab=1.00)",2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,,,,,
nowcast_3Q26,lagged univariate: surprise_vs_bound ~ S&M delev(t-1),3Q26 margin,sm_delev_2Q26=9.9,14,,,,,,,,,,,,,,,,,,,,,,,"b0=1.32, b1=-0.159",,-0.2568,49.8432,50.1000,50.0850,
nowcast_3Q26,lagged 2-factor: margin_yoy ~ ADR exFX(t-1) + S&M delev(t-1),3Q26 margin,"adr_exfx_2Q26=4.0, sm_delev_2Q26=9.9",14,,,,,,,,,,,,,,,,,,,,,,,"b0=2.20, b_adr=-0.395, b_sm=-0.163",,,49.0966,50.1000,50.0850,-0.9884
