market,target,date,source,url,status,exists,size,listings_local,note,region,quarter,downloaded,processed
melbourne,2026-03-15,2026-03-21,cdn_probe,https://data.insideairbnb.com/australia/vic/melbourne/2026-03-21/data/calendar.csv.gz,206,True,14601750,False,,apac,1Q26,True,True
melbourne,2026-06-15,2026-06-16,local_listings,https://data.insideairbnb.com/australia/vic/melbourne/2026-06-16/data/calendar.csv.gz,206,True,22222407,True,,apac,2Q26,True,True
melbourne,2026-08-20,2026-08-15,local_listings,https://data.insideairbnb.com/australia/vic/melbourne/2026-08-15/data/calendar.csv.gz,206,True,22170730,True,,apac,3Q26,True,True
mexico-city,2025-09-15,2025-09-27,local_listings,https://data.insideairbnb.com/mexico/df/mexico-city/2025-09-27/data/calendar.csv.gz,206,True,23037908,True,,latam,3Q25,True,True
mexico-city,2025-12-15,2025-12-29,local_listings,https://data.insideairbnb.com/mexico/df/mexico-city/2025-12-29/data/calendar.csv.gz,206,True,21229810,True,,latam,4Q25,True,True
mexico-city,2026-03-15,2026-03-30,local_listings,https://data.insideairbnb.com/mexico/df/mexico-city/2026-03-30/data/calendar.csv.gz,206,True,19570748,True,,latam,1Q26,True,True
mexico-city,2026-06-15,2026-06-15,local_listings,https://data.insideairbnb.com/mexico/df/mexico-city/2026-06-15/data/calendar.csv.gz,206,True,26855152,True,,latam,2Q26,True,True
mexico-city,2026-08-20,2026-08-30,local_listings,https://data.insideairbnb.com/mexico/df/mexico-city/2026-08-30/data/calendar.csv.gz,206,True,27455679,True,,latam,3Q26,True,True
mid-north-coast,2025-09-15,2025-10-17,local_listings,https://data.insideairbnb.com/australia/nsw/mid-north-coast/2025-10-17/data/calendar.csv.gz,206,True,4654903,True,,apac,4Q25,True,True
mid-north-coast,2025-12-15,2025-11-12,local_listings,https://data.insideairbnb.com/australia/nsw/mid-north-coast/2025-11-12/data/calendar.csv.gz,206,True,4674793,True,,apac,4Q25,True,True
mid-north-coast,2026-03-15,2026-03-21,cdn_probe,https://data.insideairbnb.com/australia/nsw/mid-north-coast/2026-03-21/data/calendar.csv.gz,206,True,4140040,False,,apac,1Q26,True,True
mid-north-coast,2026-06-15,2026-06-19,local_listings,https://data.insideairbnb.com/australia/nsw/mid-north-coast/2026-06-19/data/calendar.csv.gz,206,True,4881801,True,,apac,2Q26,True,True
mid-north-coast,2026-08-20,2026-08-18,local_listings,https://data.insideairbnb.com/australia/nsw/mid-north-coast/2026-08-18/data/calendar.csv.gz,206,True,4815591,True,,apac,3Q26,True,True
