"year","source_market","gender_male","gender_female","age_rank_18_24","age_rank_25_34","age_rank_35_44","age_rank_45_54","age_rank_55_65_and_above","length_of_stay_days","length_of_stay_nights","length_of_stay_paid_accommodation","divs_visit_purpose_leisure","divs_visit_purpose_business","divs_visit_purpose_independent_business","divs_visit_purpose_mice","divs_visit_purpose_vfr"
"2016","Saudi Arabia","0.53","0.47","0.07","0.33","0.41","0.17","0.02","5.70","5.50","5.40","0.90","0.06","0.04","0.02","0.04"
"2017","Saudi Arabia","0.55","0.45","0.04","0.40","0.44","0.10","0.02","5.80","5.10","4.90","0.92","0.04","0.01","0.03","0.03"
"2018","Saudi Arabia","0.53","0.47","0.06","0.42","0.41","0.09","0.02","5.80","5.10","5.00","0.87","0.12","0.03","0.09","0.01"
"2019","Saudi Arabia","0.52","0.48","0.04","0.43","0.40","0.11","0.02","5.90","5.00","4.90","0.85","0.13","0.02","0.11","0.01"
"2020","Saudi Arabia","0.52","0.48","0.03","0.40","0.48","0.08","0.01","6.10","5.20","5.00","0.86","0.13","0.05","0.08","0.01"
"2016","United Kingdom","0.51","0.49","0.03","0.18","0.38","0.26","0.15","6.20","6.00","4.90","0.68","0.15","0.04","0.11","0.17"
"2017","United Kingdom","0.52","0.48","0.02","0.24","0.34","0.24","0.16","6.20","5.90","4.60","0.73","0.14","0.04","0.10","0.13"
"2018","United Kingdom","0.53","0.47","0.04","0.26","0.33","0.23","0.14","6.20","5.90","4.90","0.74","0.17","0.03","0.14","0.09"
"2019","United Kingdom","0.52","0.48","0.03","0.22","0.34","0.24","0.17","6.30","5.80","4.60","0.77","0.14","0.01","0.13","0.09"
"2020","United Kingdom","0.51","0.49","0.02","0.26","0.34","0.21","0.17","7.40","6.70","5.00","0.72","0.13","0.04","0.09","0.15"
"2016","USA","0.58","0.42","0.04","0.14","0.41","0.29","0.12","5.70","5.60","4.60","0.71","0.15","0.04","0.11","0.14"
"2017","USA","0.56","0.44","0.01","0.25","0.36","0.26","0.12","6.20","6.00","4.80","0.74","0.09","0.04","0.05","0.17"
"2018","USA","0.53","0.47","0.02","0.24","0.34","0.27","0.13","6.00","5.70","4.70","0.82","0.08","0.02","0.06","0.10"
"2019","USA","0.52","0.48","0.02","0.21","0.34","0.28","0.15","6.00","5.60","4.50","0.83","0.10","0.02","0.08","0.07"
"2020","USA","0.53","0.47","0.01","0.21","0.39","0.25","0.14","6.40","5.70","4.80","0.81","0.11","0.04","0.07","0.08"
"2016","Overall","0.53","0.47","0.05","0.32","0.37","0.17","0.09","8.40","8.10","4.40","0.67","0.11","0.04","0.07","0.21"
"2017","Overall","0.53","0.47","0.03","0.35","0.37","0.17","0.08","7.60","7.30","4.70","0.74","0.12","0.04","0.08","0.13"
"2018","Overall","0.52","0.48","0.05","0.38","0.35","0.15","0.07","7.40","7.00","4.80","0.77","0.12","0.03","0.09","0.10"
