,Cleanliness,Comfort,Facilities,Free WiFi,Location,Staff,Total,Value for money,highlights,hotel_name,lat,lng,stars,type,days,segment,fits,price_med,city,datecontrol,dist,metro_dist
878,9.1,8.8,8.7,9.5,9.3,9.3,,8.1,"['“helpful staff”\n4 related reviews', '“lovely friendly”\n4 related reviews', '“breakfast delicious”\n4 related reviews', '“boutique style”', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 9.3', 'Great Food: Meals here are highly recommended', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Fabulous breakfast included with all options', 'Continental, Full English/Irish, American, Buffet', 'Very good coffee!', 'Landmark view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Le Citizen Hotel,48.873178700000004,2.3643263,3-star hotel,'Hotels',weekdays,Hotels,2,524.2799888153603,paris,2019-07-16&checkout=2019-07-18&,2.0326337216434305,0.3292877142599253
879,9.1,8.5,8.3,8.9,9.3,8.9,,7.9,"['“great staff”\n18 related reviews', '“eiffel tower”\n17 related reviews', '“excellent location”\n11 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.3', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Continental, American, Buffet', 'Very good coffee!', 'Patio', 'City / Landmark view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hotel Saint Dominique,48.8598235,2.3088077,4-star hotel,'Hotels',weekdays,Hotels,2,588.125640786653,paris,2019-07-16&checkout=2019-07-18&,3.243272297382711,0.25171372033130474
880,8.8,8.5,8.0,8.8,9.6,9.0,,8.0,"['“excellent location”\n15 related reviews', '“friendly staff”\n10 related reviews', '“walking distance”\n5 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.6', 'Buffet', 'Good coffee!', 'View', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'There are more repeat guests here than most other properties.']",Hotel Hôtel Mansart - Esprit de France,48.8685214,2.3298499,4-star hotel,'Hotels',weekdays,Hotels,2,570.0671078385684,paris,2019-07-16&checkout=2019-07-18&,2.1415410749353536,0.2853123237259586
881,8.0,7.8,7.4,8.2,8.2,8.6,,7.3,"['“nice staff”\n2 related reviews', '“gare de lyon”\n2 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.2', 'Continental, Gluten-free, American, Buffet', 'Good coffee!', 'Balcony, City view', 'Patio', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking at the hotel']",Hotel Mercure Paris Bastille Saint Antoine,48.8495778,2.3796517999999995,4-star hotel,'Hotels',weekdays,Hotels,2,388.5497250442725,paris,2019-07-16&checkout=2019-07-18&,2.1212061112332745,0.2810876461269551
882,9.3,8.7,8.2,8.3,9.2,8.9,,7.9,"['“clean hotel”\n2 related reviews', '“housekeeping staff”\n2 related reviews', '“minute walk”\n2 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 9.2', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Continental, Buffet', 'Very good coffee!', 'View', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Hotel Duette Paris,48.8839751,2.3133827,3-star hotel,'Hotels',weekdays,Hotels,2,443.4243638736136,paris,2019-07-16&checkout=2019-07-18&,4.19720535595237,0.23373048826546136
883,8.5,8.0,7.7,7.4,8.9,8.9,,7.8,"['“friendly staff”\n27 related reviews', '“metro station”\n8 related reviews', '“comfortable bed”\n7 related reviews', '“boutique style”', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.9', 'Continental, Buffet', 'Good coffee!', 'View', 'City view', 'Free WiFi', 'There are more repeat guests here than most other properties.']",Hotel Le 20 Prieuré Hôtel,48.86601160000001,2.3684917999999997,3-star hotel,'Hotels',weekdays,Hotels,2,284.7422872588312,paris,2019-07-16&checkout=2019-07-18&,1.5608205115118432,0.26934650116950065
884,9.3,8.8,8.7,8.2,9.5,9.3,,8.2,"['“eiffel tower”\n46 related reviews', '“friendly staff”\n38 related reviews', '“excellent location”\n27 related reviews', '“boutique style”', 'Situated in the real heart of Paris, this hotel has an excellent location score of 9.5', ""Want a great night's sleep? This hotel was highly rated for its very comfy beds."", 'Continental, Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hotel Cler Hotel,48.8575011,2.3059346,3-star hotel,'Hotels',weekdays,Hotels,2,535.115108584211,paris,2019-07-16&checkout=2019-07-18&,3.435373011664881,0.2831789726775263
885,7.6,7.2,6.8,7.3,7.6,7.4,,6.6,"['“lots of nice restaurants”\n2 related reviews', '“mins walk”\n2 related reviews', '“street view”\n2 related reviews', '“boutique style”', 'This hotel is situated in the real heart of Paris', 'Continental, Buffet', 'View', 'City view', 'Free WiFi']",Hotel Moulin Vert,48.8314127,2.3197004,3-star hotel,'Hotels',weekdays,Hotels,2,180.23580948830275,paris,2019-07-16&checkout=2019-07-18&,3.701126234299947,0.3163998194576081
886,8.2,7.6,7.3,6.8,8.9,8.3,,7.4,"['“gare de lyon”\n33 related reviews', '“train station”\n28 related reviews', '“helpful staff”\n18 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.9', 'Buffet', 'Good coffee!', 'Free WiFi']",Hotel Hotel Lyon Bastille,48.846785100000005,2.3725607,3-star hotel,'Hotels',weekdays,Hotels,2,213.90623543666698,paris,2019-07-16&checkout=2019-07-18&,1.8153635419571037,0.2491730028317305
887,8.0,7.6,7.3,6.7,8.3,8.4,,7.3,"['“convenient location”\n5 related reviews', '“comfortable bed”\n4 related reviews', '“pleasant staff”\n4 related reviews', '“boutique style”', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.3', 'Continental, Buffet', 'Good coffee!', 'Balcony with view', 'City / Garden view', 'Free WiFi']",Hotel Best Western Paris Gare Saint Lazare,48.8802996,2.3195247,4-star hotel,'Hotels',weekdays,Hotels,2,362.4522322676857,paris,2019-07-16&checkout=2019-07-18&,3.5911541134013927,0.2686654128311282
888,8.4,7.6,7.6,8.3,8.2,8.5,,7.6,"['“train station”\n5 related reviews', '“clean room”\n4 related reviews', '“air conditioner”\n4 related reviews', 'Situated in the best rated area in Paris, this hotel has an excellent location score of 8.2', 'Continental, Gluten-free, Buffet', 'Patio', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking at the hotel']",Hotel ibis Paris Gare de Lyon Reuilly,48.8493814,2.3853098999999998,3-star hotel,'Hotels',weekdays,Hotels,2,238.9551682356231,paris,2019-07-16&checkout=2019-07-18&,2.518896585437572,0.17594609974696349
