market,dimension,bucket,listings,reviews_ltm,reviews_per_listing,median_price,supply_share,demand_share,demand_index,guest_stay_share,guest_stay_index,revenue_share,revenue_index,median_price_per_guest
it_milan,bedrooms,2 br,3853,58344,15.142486374253828,185.19,0.2016855108877722,0.20190470917194983,1.0010868320843316,0.2768375766979336,1.3726200532668889,0.26876451591647255,1.3325920872224997,38.65
it_milan,bedrooms,3 br,716,11847,16.54608938547486,265.0,0.03747906197654941,0.04099761911353506,1.0938806083030361,0.07468133624844253,1.9926148710757627,0.07663103577730165,2.0446359043150433,40.0
it_milan,bedrooms,4+ br,166,2828,17.03614457831325,469.5,0.0086892797319933,0.009786550759945738,1.1262787091445985,0.02520252956249853,2.9004164142287463,0.034220862745423394,3.938285312581738,50.375
it_puglia,accommodates,1-2 guests,4264,31662,7.425422138836773,111.0,0.15977218225419665,0.22741278631299963,1.4233565762479676,0.10858386618732677,0.6796168435289345,0.14611691985960154,0.9145329167948043,55.5
it_puglia,accommodates,3-4 guests,11647,65206,5.598523224864772,131.0,0.4364133693045564,0.46834306564100353,1.0731638821865803,0.4223085156014161,0.9676800604765684,0.37800916595002965,0.8661722865007634,35.0
it_puglia,accommodates,5-6 guests,7086,30479,4.301298334744566,171.33,0.26551258992805754,0.21891587120314307,0.824502790102947,0.28922651554652984,1.089313752032993,0.26409840383793476,0.994673751288005,31.142000000000003
it_puglia,accommodates,7+ guests,3691,11880,3.218639934976971,359.75,0.13830185851318944,0.08532827684285375,0.6169712956873696,0.17988110266472734,1.3006412538380503,0.21177551035243405,1.5312557085575076,40.86857142857143
it_puglia,bedrooms,0-1 br,11964,75931,6.34662320294216,119.33,0.4482913669064748,0.5453755377908021,1.2165648907189006,0.39950842503910644,0.8911802781213367,0.3734104138842629,0.8329636514328994,40.0
it_puglia,bedrooms,2 br,9726,44651,4.590890396874357,156.67,0.36443345323741005,0.32070647216416354,0.8800138113425043,0.3615014133208925,0.9919545258799073,0.3261043051893814,0.8948253852451379,33.5
it_puglia,bedrooms,3 br,3305,13369,4.045083207261725,248.0,0.12383842925659472,0.09602304150775352,0.7753896919089035,0.14847930788440955,1.1989760268741672,0.16297356918889702,1.3160177351023552,37.666666666666664
it_puglia,bedrooms,4+ br,1693,5276,3.1163614884819846,605.165,0.06343675059952038,0.03789494853728084,0.5973658514843185,0.09051085375559154,1.4267889338625086,0.13751171173745871,2.1676979107202,59.926874999999995
it_sicily,accommodates,1-2 guests,5013,51704,10.313983642529424,104.38,0.15305000915918665,0.2140119373825509,1.3983137835683368,0.10066214456124764,0.6577075369956324,0.15090613592444704,0.9859923351424973,52.25
it_sicily,accommodates,3-4 guests,14748,113585,7.701722267426092,120.0,0.4502656164132625,0.4701482652714885,1.0441575997221544,0.41608435548307715,0.9240864510098121,0.3755913875042554,0.8341551604498496,32.166666666666664
it_sicily,accommodates,5-6 guests,8651,54502,6.300080915501098,158.62,0.2641204127740123,0.22559335082824905,0.8541306915996382,0.29473567309912296,1.1159140257413795,0.26509881431072435,1.003704376827357,28.6
it_sicily,accommodates,7+ guests,4342,21803,5.02141870105942,302.0,0.1325639616535385,0.09024644651771153,0.6807766258040358,0.18851782685655222,1.4220895672177594,0.2084036622605732,1.5720989299131307,34.714285714285715
it_sicily,bedrooms,0-1 br,15068,131556,8.730820281391027,109.0,0.46003541552176835,0.5445333907299023,1.1836771091032132,0.39811575693634665,0.8654024092575722,0.38253895225051787,0.831542397266622,35.388333333333335
it_sicily,bedrooms,2 br,11202,74291,6.631940724870558,145.0,0.34200403004213226,0.30750349760341733,0.8991224388950483,0.3425226957671262,1.001516548576723,0.3083371652085536,0.9015600347474526,31.661458333333336
