gap_days,months_before_early_dump,n_pairs,median_ratio,mean_ratio,pooled_ratio,den
67,1,1,0.9606462004471477,0.9606462004471477,0.9606462004471477,41597
67,2,1,0.9604564101414512,0.9604564101414512,0.9604564101414512,44609
67,3,1,0.9611212167700366,0.9611212167700366,0.9611212167700366,45629
67,4,1,0.956104446012703,0.956104446012703,0.956104446012703,49595
67,5,1,0.9591996861514319,0.9591996861514319,0.9591996861514319,53529
67,6,1,0.965889658896589,0.965889658896589,0.965889658896589,33333
67,7,1,0.9643483984203598,0.9643483984203598,0.9643483984203598,36464
67,8,1,0.9651548672566371,0.9651548672566371,0.9651548672566371,34352
73,-1,1,717.3333333333334,717.3333333333334,717.3333333333334,9
73,0,1,3.914996964177292,3.914996964177292,3.914996964177292,1647
73,1,1,0.9361774744027304,0.9361774744027304,0.9361774744027304,5860
73,2,1,0.9350143501435014,0.9350143501435014,0.9350143501435014,4878
73,3,1,0.9381642512077295,0.9381642512077295,0.9381642512077295,4140
73,4,1,0.9315878378378378,0.9315878378378378,0.9315878378378378,2368
73,5,1,0.9160721779269828,0.9160721779269828,0.9160721779269828,2383
73,6,1,0.9349791376912379,0.9349791376912379,0.9349791376912379,2876
73,7,1,0.94253140995812,0.94253140995812,0.94253140995812,4298
73,8,1,0.9364683899096855,0.9364683899096855,0.9364683899096855,6422
75,-1,1,460.25,460.25,460.25,36
75,0,1,3.6301633045148893,3.6301633045148893,3.6301633045148893,4164
75,1,1,0.965444938354441,0.965444938354441,0.965444938354441,11923
75,2,1,0.9699376063528077,0.9699376063528077,0.9699376063528077,8815
75,3,1,0.966855031514888,0.966855031514888,0.966855031514888,9202
75,4,1,0.9715240216353802,0.9715240216353802,0.9715240216353802,6286
75,5,1,0.9702986022871665,0.9702986022871665,0.9702986022871665,6296
75,6,1,0.9710756251883097,0.9710756251883097,0.9710756251883097,6638
75,7,1,0.9718821471814879,0.9718821471814879,0.9718821471814879,7433
75,8,1,0.9715707178393745,0.9715707178393745,0.9715707178393745,9849
76,-1,1,4813.777777777777,4813.777777777777,4813.777777777777,9
76,0,1,3.459135196070537,3.459135196070537,3.459135196070537,12419
76,1,1,0.9515694881563691,0.9515694881563691,0.9515694881563691,48296
76,2,1,0.95520037457169,0.95520037457169,0.95520037457169,46987
76,3,1,0.9585699014134695,0.9585699014134695,0.9585699014134695,42095
76,4,1,0.9572092803700819,0.9572092803700819,0.9572092803700819,42369
76,5,1,0.9604269513008672,0.9604269513008672,0.9604269513008672,37475
76,6,1,0.9590502682296841,0.9590502682296841,0.9590502682296841,50330
76,7,1,0.9621492740665049,0.9621492740665049,0.9621492740665049,46974
76,8,1,0.9638312123241795,0.9638312123241795,0.9638312123241795,38818
78,-1,1,194.5,194.5,194.5,2
78,0,1,3.8333333333333335,3.8333333333333335,3.8333333333333335,90
78,1,1,0.9310344827586207,0.9310344827586207,0.9310344827586207,377
78,2,1,0.8953846153846153,0.8953846153846153,0.8953846153846153,325
78,3,1,0.9197530864197531,0.9197530864197531,0.9197530864197531,324
78,4,1,0.9336283185840708,0.9336283185840708,0.9336283185840708,226
78,5,1,0.9288888888888889,0.9288888888888889,0.9288888888888889,225
78,6,1,0.9651162790697675,0.9651162790697675,0.9651162790697675,172
78,7,1,0.9126637554585153,0.9126637554585153,0.9126637554585153,229
78,8,1,0.9154411764705882,0.9154411764705882,0.9154411764705882,272
278,0,1,2.8204487257651505,2.8204487257651505,2.8204487257651505,16402
278,1,1,0.7736595724144587,0.7736595724144587,0.7736595724144587,62163
278,2,1,0.7857888205764566,0.7857888205764566,0.7857888205764566,70916
278,3,1,0.8053435114503816,0.8053435114503816,0.8053435114503816,62356
278,4,1,0.8146047217672672,0.8146047217672672,0.8146047217672672,50066
278,5,1,0.8163265306122449,0.8163265306122449,0.8163265306122449,44737
