vintage_date,line,spec,n_obs,g,b,b_imposed,c_mix,flags,c_event_E02_cor_cash,c_event_E09_cor_cash,c_event_E05_ops_cash,c_event_E10_pd_cash
2026-08-06,ga,a_unit_eq,18,0.09637179951062314,,True,,,,,,
full_sample,cor,b_elastic_rw,18,0.013782765949400895,0.8097427582503111,False,,,,,,
full_sample,ops,b_elastic_rw,18,-0.01041656266378585,0.763976667623893,False,,,,,,
full_sample,pd,b_elastic_rw,18,0.11811494904165838,,False,,,,,,
full_sample,sm,b_elastic_rw,18,0.15471252960338322,0.4184799156650235,False,,,,,,
full_sample,ga,b_elastic_rw,18,0.05606379646512878,,False,,,,,,
2022-02-15,cor,b_elastic_rw,4,0.010512697355337422,0.4238324446001447,False,,added_2021_obs,,,,
2022-02-15,ops,b_elastic_rw,4,0.011903939007761358,0.20785739889142146,False,,added_2021_obs,,,,
2022-02-15,pd,b_elastic_rw,4,0.014318009894871801,,False,,added_2021_obs,,,,
2022-02-15,sm,b_elastic_rw,4,-0.04352653560780231,0.868507987019283,False,,added_2021_obs,,,,
2022-02-15,ga,b_elastic_rw,4,-0.07283020004977424,,False,,added_2021_obs,,,,
2022-05-03,cor,b_elastic_rw,5,0.07145476837237662,0.38382411689120444,False,,added_2021_obs,,,,
2022-05-03,ops,b_elastic_rw,5,0.051391592708452845,0.20144421720049158,False,,added_2021_obs,,,,
2022-05-03,pd,b_elastic_rw,5,0.0408094642354208,,False,,added_2021_obs,,,,
2022-05-03,sm,b_elastic_rw,5,-0.026372766240871738,0.8613872969503722,False,,added_2021_obs,,,,
2022-05-03,ga,b_elastic_rw,5,-0.005048179694674623,,False,,added_2021_obs,,,,
2022-08-02,cor,b_elastic_rw,6,0.14089609261119196,0.3112021905353366,False,,added_2021_obs,,,,
2022-08-02,ops,b_elastic_rw,6,0.11254499620898208,0.1270559226102833,False,,added_2021_obs,,,,
2022-08-02,pd,b_elastic_rw,6,0.05810809813495598,,False,,added_2021_obs,,,,
2022-08-02,sm,b_elastic_rw,6,-0.0979612878003288,0.9081423028020419,False,,added_2021_obs,,,,
2022-08-02,ga,b_elastic_rw,6,0.02165136850630946,,False,,added_2021_obs,,,,
2022-11-01,cor,b_elastic_rw,7,0.15308774968571215,0.2990429496715281,False,,added_2021_obs,,,,
2022-11-01,ops,b_elastic_rw,7,0.14579519152361767,0.08686636183587824,False,,added_2021_obs,,,,
2022-11-01,pd,b_elastic_rw,7,0.06246855947620783,,False,,added_2021_obs,,,,
2022-11-01,sm,b_elastic_rw,7,-0.021239916179488925,0.825468457159576,False,,added_2021_obs,,,,
2022-11-01,ga,b_elastic_rw,7,0.03946054152326284,,False,,added_2021_obs,,,,
2023-02-14,cor,b_elastic_rw,4,0.1000249060754321,0.5264040416717416,False,,,,,,
2023-02-14,ops,b_elastic_rw,4,0.12321501404812296,0.2820617792162062,False,,,,,,
2023-02-14,pd,b_elastic_rw,4,0.07641620268544072,,False,,,,,,
2023-02-14,sm,b_elastic_rw,4,0.05510776756002842,0.5738566318317151,False,,,,,,
2023-02-14,ga,b_elastic_rw,4,0.1593849226245004,,False,,,,,,
2023-05-09,cor,b_elastic_rw,5,0.08298375166249065,0.5681742050931612,False,,,,,,
2023-05-09,ops,b_elastic_rw,5,0.1349519099123821,0.25077633426375884,False,,,,,,
2023-05-09,pd,b_elastic_rw,5,0.08306975265236143,,False,,,,,,
2023-05-09,sm,b_elastic_rw,5,0.13978305521033843,0.385261398564764,False,,,,,,
2023-05-09,ga,b_elastic_rw,5,0.15173928815383225,,False,,,,,,
